ind,synbiohub_uri,igem_link,team_name
50,https://synbiohub.org/public/igem/BBa_K1539003/1,http://parts.igem.org/Part:BBa_K1539003,iGEM14_GeorgiaTech
51,https://synbiohub.org/public/igem/BBa_K1539005/1,http://parts.igem.org/Part:BBa_K1539005,iGEM14_GeorgiaTech
52,https://synbiohub.org/public/igem/BBa_K1417001/1,http://parts.igem.org/Part:BBa_K1417001,iGEM14_Northwestern
53,https://synbiohub.org/public/igem/BBa_K1539008/1,http://parts.igem.org/Part:BBa_K1539008,iGEM14_GeorgiaTech
54,https://synbiohub.org/public/igem/BBa_K1539013/1,http://parts.igem.org/Part:BBa_K1539013,iGEM14_GeorgiaTech
55,https://synbiohub.org/public/igem/BBa_K1401009/1,http://parts.igem.org/Part:BBa_K1401009,iGEM14_BostonU
56,https://synbiohub.org/public/igem/BBa_K1401010/1,http://parts.igem.org/Part:BBa_K1401010,iGEM14_BostonU
57,https://synbiohub.org/public/igem/BBa_K1419002/1,http://parts.igem.org/Part:BBa_K1419002,iGEM14_Lethbridge
58,https://synbiohub.org/public/igem/BBa_K1419003/1,http://parts.igem.org/Part:BBa_K1419003,iGEM14_Lethbridge
59,https://synbiohub.org/public/igem/BBa_K1443003/1,http://parts.igem.org/Part:BBa_K1443003,iGEM14_Aalto
60,https://synbiohub.org/public/igem/BBa_K1417003/1,http://parts.igem.org/Part:BBa_K1417003,iGEM14_Northwestern
61,https://synbiohub.org/public/igem/BBa_K1443004/1,http://parts.igem.org/Part:BBa_K1443004,iGEM14_Aalto
62,https://synbiohub.org/public/igem/BBa_K1519008/1,http://parts.igem.org/Part:BBa_K1519008,iGEM14_Michigan
63,https://synbiohub.org/public/igem/BBa_K1419004/1,http://parts.igem.org/Part:BBa_K1419004,iGEM14_Lethbridge
64,https://synbiohub.org/public/igem/BBa_K1433011/1,http://parts.igem.org/Part:BBa_K1433011,iGEM14_ZJU-China
65,https://synbiohub.org/public/igem/BBa_K1519123/1,http://parts.igem.org/Part:BBa_K1519123,iGEM14_Michigan
66,https://synbiohub.org/public/igem/BBa_K1419005/1,http://parts.igem.org/Part:BBa_K1419005,iGEM14_Lethbridge
67,https://synbiohub.org/public/igem/BBa_K1460009/1,http://parts.igem.org/Part:BBa_K1460009,iGEM14_Cornell
68,https://synbiohub.org/public/igem/BBa_K1311004/1,http://parts.igem.org/Part:BBa_K1311004,iGEM14_Tsinghua-A
69,https://synbiohub.org/public/igem/BBa_K1462490/1,http://parts.igem.org/Part:BBa_K1462490,iGEM14_SCUT
70,https://synbiohub.org/public/igem/BBa_K1462500/1,http://parts.igem.org/Part:BBa_K1462500,iGEM14_SCUT
71,https://synbiohub.org/public/igem/BBa_K1462510/1,http://parts.igem.org/Part:BBa_K1462510,iGEM14_SCUT
72,https://synbiohub.org/public/igem/BBa_K1462450/1,http://parts.igem.org/Part:BBa_K1462450,iGEM14_SCUT
73,https://synbiohub.org/public/igem/BBa_K1462520/1,http://parts.igem.org/Part:BBa_K1462520,iGEM14_SCUT
74,https://synbiohub.org/public/igem/BBa_K1462440/1,http://parts.igem.org/Part:BBa_K1462440,iGEM14_SCUT
75,https://synbiohub.org/public/igem/BBa_K1462430/1,http://parts.igem.org/Part:BBa_K1462430,iGEM14_SCUT
76,https://synbiohub.org/public/igem/BBa_K1462330/1,http://parts.igem.org/Part:BBa_K1462330,iGEM14_SCUT
77,https://synbiohub.org/public/igem/BBa_K1462340/1,http://parts.igem.org/Part:BBa_K1462340,iGEM14_SCUT
78,https://synbiohub.org/public/igem/BBa_K1462380/1,http://parts.igem.org/Part:BBa_K1462380,iGEM14_SCUT
79,https://synbiohub.org/public/igem/BBa_K1462390/1,http://parts.igem.org/Part:BBa_K1462390,iGEM14_SCUT
80,https://synbiohub.org/public/igem/BBa_K1462370/1,http://parts.igem.org/Part:BBa_K1462370,iGEM14_SCUT
