Spurious,Real
https://synbiohub.org/public/igem/BBa_K874999/1,https://synbiohub.org/public/igem/BBa_K590020/1
https://synbiohub.org/public/igem/BBa_K2042003/1,https://synbiohub.org/public/igem/BBa_J45501/1
https://synbiohub.org/public/igem/BBa_K782047/1,https://synbiohub.org/public/igem/BBa_K1199049/1
https://synbiohub.org/public/igem/BBa_K1890057/1,https://synbiohub.org/public/igem/BBa_K277002/1
https://synbiohub.org/public/igem/BBa_K188027/1,https://synbiohub.org/public/igem/BBa_K1365009/1
https://synbiohub.org/public/igem/BBa_K1479007/1,https://synbiohub.org/public/igem/BBa_K1325006/1
https://synbiohub.org/public/igem/BBa_K827032/1,https://synbiohub.org/public/igem/BBa_K1980009/1
https://synbiohub.org/public/igem/BBa_K320015/1,https://synbiohub.org/public/igem/BBa_K2139002/1
https://synbiohub.org/public/igem/BBa_J29043/1,https://synbiohub.org/public/igem/BBa_J100209/1
https://synbiohub.org/public/igem/BBa_J16010/1,https://synbiohub.org/public/igem/BBa_K372001/1
https://synbiohub.org/public/igem/BBa_K2066126/1,https://synbiohub.org/public/igem/BBa_K2036011/1
https://synbiohub.org/public/igem/BBa_J58105/1,https://synbiohub.org/public/igem/BBa_I716154/1
https://synbiohub.org/public/igem/BBa_I732024/1,https://synbiohub.org/public/igem/BBa_M31022/1
https://synbiohub.org/public/igem/BBa_I722003/1,https://synbiohub.org/public/igem/BBa_I11004/1
https://synbiohub.org/public/igem/BBa_K1256009/1,https://synbiohub.org/public/igem/BBa_K313023/1
https://synbiohub.org/public/igem/BBa_J16001/1,https://synbiohub.org/public/igem/BBa_K1982008/1
https://synbiohub.org/public/igem/BBa_M1845/1,https://synbiohub.org/public/igem/BBa_M36527/1
https://synbiohub.org/public/igem/BBa_K1618045/1,https://synbiohub.org/public/igem/BBa_K783066/1
https://synbiohub.org/public/igem/BBa_K245133/1,https://synbiohub.org/public/igem/BBa_J64852/1
https://synbiohub.org/public/igem/BBa_I766232/1,https://synbiohub.org/public/igem/BBa_I742118/1
https://synbiohub.org/public/igem/BBa_M36296/1,https://synbiohub.org/public/igem/BBa_K105105/1
https://synbiohub.org/public/igem/BBa_K1618043/1,https://synbiohub.org/public/igem/BBa_K566036/1
https://synbiohub.org/public/igem/BBa_K782052/1,https://synbiohub.org/public/igem/BBa_K1159307/1
https://synbiohub.org/public/igem/BBa_K874090/1,https://synbiohub.org/public/igem/BBa_K590002/1
https://synbiohub.org/public/igem/BBa_M45098/1,https://synbiohub.org/public/igem/BBa_K525224/1
https://synbiohub.org/public/igem/BBa_K1256002/1,https://synbiohub.org/public/igem/BBa_K187266/1
https://synbiohub.org/public/igem/BBa_K827005/1,https://synbiohub.org/public/igem/BBa_J202036/1
https://synbiohub.org/public/igem/BBa_K827067/1,https://synbiohub.org/public/igem/BBa_K1481006/1
https://synbiohub.org/public/igem/BBa_K827036/1,https://synbiohub.org/public/igem/BBa_K321004/1
https://synbiohub.org/public/igem/BBa_K1152999/1,https://synbiohub.org/public/igem/BBa_K187010/1
https://synbiohub.org/public/igem/BBa_J580002/1,https://synbiohub.org/public/igem/BBa_K1959002/1
https://synbiohub.org/public/igem/BBa_K1633998/1,https://synbiohub.org/public/igem/BBa_K1033115/1
https://synbiohub.org/public/igem/BBa_K827058/1,https://synbiohub.org/public/igem/BBa_J100173/1
https://synbiohub.org/public/igem/BBa_K827008/1,https://synbiohub.org/public/igem/BBa_I15007/1
https://synbiohub.org/public/igem/BBa_J37006/1,https://synbiohub.org/public/igem/BBa_K094100/1
https://synbiohub.org/public/igem/BBa_K1793000/1,https://synbiohub.org/public/igem/BBa_K189020/1
https://synbiohub.org/public/igem/BBa_T3000/1,https://synbiohub.org/public/igem/BBa_I10018/1
https://synbiohub.org/public/igem/BBa_K827046/1,https://synbiohub.org/public/igem/BBa_K277123/1
https://synbiohub.org/public/igem/BBa_K827011/1,https://synbiohub.org/public/igem/BBa_K112217/1
https://synbiohub.org/public/igem/BBa_K827082/1,https://synbiohub.org/public/igem/BBa_K953001/1
https://synbiohub.org/public/igem/BBa_K360100/1,https://synbiohub.org/public/igem/BBa_J119373/1
https://synbiohub.org/public/igem/BBa_K261000/1,https://synbiohub.org/public/igem/BBa_K1796113/1
https://synbiohub.org/public/igem/BBa_K827040/1,https://synbiohub.org/public/igem/BBa_K2014008/1
https://synbiohub.org/public/igem/BBa_K827084/1,https://synbiohub.org/public/igem/BBa_K633003/1
https://synbiohub.org/public/igem/BBa_J33009/1,https://synbiohub.org/public/igem/BBa_J100259/1
https://synbiohub.org/public/igem/BBa_I714934/1,https://synbiohub.org/public/igem/BBa_K784007/1
https://synbiohub.org/public/igem/BBa_K827064/1,https://synbiohub.org/public/igem/BBa_K1371002/1
https://synbiohub.org/public/igem/BBa_K1362451/1,https://synbiohub.org/public/igem/BBa_K2088003/1
https://synbiohub.org/public/igem/BBa_I711026/1,https://synbiohub.org/public/igem/BBa_K1154005/1
https://synbiohub.org/public/igem/BBa_K137111/1,https://synbiohub.org/public/igem/BBa_K157028/1
https://synbiohub.org/public/igem/BBa_K1529110/1,https://synbiohub.org/public/igem/BBa_K242201/1
https://synbiohub.org/public/igem/BBa_K1371011/1,https://synbiohub.org/public/igem/BBa_K823014/1
https://synbiohub.org/public/igem/BBa_K649202/1,https://synbiohub.org/public/igem/BBa_K747016/1
https://synbiohub.org/public/igem/BBa_K827066/1,https://synbiohub.org/public/igem/BBa_K1777019/1
https://synbiohub.org/public/igem/BBa_K827056/1,https://synbiohub.org/public/igem/BBa_K1967021/1
https://synbiohub.org/public/igem/BBa_K827018/1,https://synbiohub.org/public/igem/BBa_K857001/1
https://synbiohub.org/public/igem/BBa_K827049/1,https://synbiohub.org/public/igem/BBa_K1399006/1
https://synbiohub.org/public/igem/BBa_K805010/1,https://synbiohub.org/public/igem/BBa_K1350001/1
https://synbiohub.org/public/igem/BBa_K911005/1,https://synbiohub.org/public/igem/BBa_K103006/1
https://synbiohub.org/public/igem/BBa_K1256008/1,https://synbiohub.org/public/igem/BBa_K137051/1
https://synbiohub.org/public/igem/BBa_I725009/1,https://synbiohub.org/public/igem/BBa_K1641018/1
https://synbiohub.org/public/igem/BBa_K649900/1,https://synbiohub.org/public/igem/BBa_K1916008/1
https://synbiohub.org/public/igem/BBa_J59001/1,https://synbiohub.org/public/igem/BBa_K2039003/1
https://synbiohub.org/public/igem/BBa_K1585997/1,https://synbiohub.org/public/igem/BBa_K187238/1
https://synbiohub.org/public/igem/BBa_K782043/1,https://synbiohub.org/public/igem/BBa_K1621000/1
https://synbiohub.org/public/igem/BBa_K1479020/1,https://synbiohub.org/public/igem/BBa_K1510002/1
https://synbiohub.org/public/igem/BBa_K1256014/1,https://synbiohub.org/public/igem/BBa_K509002/1
https://synbiohub.org/public/igem/BBa_K1256003/1,https://synbiohub.org/public/igem/BBa_K1122669/1
https://synbiohub.org/public/igem/BBa_K245029/1,https://synbiohub.org/public/igem/BBa_K2070002/1
https://synbiohub.org/public/igem/BBa_K1256010/1,https://synbiohub.org/public/igem/BBa_K310001/1
https://synbiohub.org/public/igem/BBa_J52997/1,https://synbiohub.org/public/igem/BBa_I729007/1
https://synbiohub.org/public/igem/BBa_K141003/1,https://synbiohub.org/public/igem/BBa_K150100/1
https://synbiohub.org/public/igem/BBa_K245028/1,https://synbiohub.org/public/igem/BBa_K1487000/1
https://synbiohub.org/public/igem/BBa_K747101/1,https://synbiohub.org/public/igem/BBa_K1946005/1
https://synbiohub.org/public/igem/BBa_K819014/1,https://synbiohub.org/public/igem/BBa_K2180007/1
https://synbiohub.org/public/igem/BBa_M1888/1,https://synbiohub.org/public/igem/BBa_K1668002/1
https://synbiohub.org/public/igem/BBa_K1442684/1,https://synbiohub.org/public/igem/BBa_K779120/1
https://synbiohub.org/public/igem/BBa_K245122/1,https://synbiohub.org/public/igem/BBa_J07017/1
https://synbiohub.org/public/igem/BBa_K245031/1,https://synbiohub.org/public/igem/BBa_K243037/1
https://synbiohub.org/public/igem/BBa_M11106/1,https://synbiohub.org/public/igem/BBa_K2110834/1
